Metabolite,Chemical Formula,Metabolism,HMDB ID,Column,Ion Mode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48, QC 01, QC 02, QC 03
3-Hydroxy-9-octadecenoylcarnitine (AC 18:1-OH),C25H47NO5,Carnitine,HMDB0013340,C18,Positive,20744.6685,170621.8475,374555.731,28511.746,252820.1545,496964.8749,26599.126,261828.304,373971.5453,20321.419,193265.2137,476837.7089,20283.496,256986.2945,449528.3155,15904.404,221076.3535,422284.3154,23733.5745,257702.2114,469879.5997,22242.6125,264506.5465,478435.5648,8538.362,129414.004,249841.8072,10730.473,133647.0175,188939.342,10927.61167,133639.351,215803.671,17895.719,153624.9185,264230.283,12675.6435,150313.1046,238129.7446,13184.0965,130281.7,255824.2695,10765.6405,149295.109,238150.798,13102.8025,157428.515,246412.2351,200883.0685,213997.2701,203118.3188
3-Hydroxyoctadecanoylcarnitine (AC 18:0-OH),C25H49NO5,Carnitine,HMDB0240769,C18,Positive,9749.70172,98765.93076,193800.6504,11992.42175,118188.3413,239319.5662,12867.67298,92104.44386,151532.8273,10519.754,85489.16465,195266.2916,11838.526,105546.821,166136.1617,10230.06623,91840.00443,149219.0139,7866.799401,110191.4066,188726.1783,8164.6945,111758.7187,181987.0477,15698.50608,140231.6747,222764.2106,21824.80588,143413.5098,236421.8478,18091.558,145613.3986,243673.3908,23769.98949,152989.6743,247034.9873,20389.25352,164619.8216,232698.3022,19271.01182,140028.8211,223446.6885,17814.2109,145222.5593,279321.8655,16913.7745,141305.8436,257307.2492,123181.9533,138418.939,121179.19
Arachidonylcarnitine (AC 20:4),C27H45NO4,Carnitine,HMDB0006455,C18,Positive,45639.19155,187668.5186,240187.7278,85113.21842,149814.4711,295342.5051,76598.81467,174718.4869,212476.9697,56878.8997,216329.8107,287260.3909,77923.63692,207692.5324,218415.4652,56430.12344,148371.2324,255276.0155,51430.28302,168030.4265,278202.4161,65762.22104,155388.4015,202806.7348,59517.54872,207349.9104,190929.283,49252.1099,185447.3472,253393.9542,56060.6981,244272.782,237647.8417,75751.41832,149615.3514,155002.2917,64730.92634,208410.1724,234491.0737,58433.75945,228747.221,193085.8204,51377.73912,130068.1239,246436.8344,59485.56128,164625.9507,251666.4528,223703.4606,215726.3711,158981.3678
Eicoseneoylcarnitine (AC22:1),C27H51NO4,Carnitine,HMDB0240746,C18,Positive,20924.141,201877.4751,366756.6303,27811.91985,218709.4212,410948.5852,37051.08714,184706.3242,300652.6673,25160.495,159972.7505,382733.6755,29469.6165,244016.2066,356268.058,22761.36525,185953.5222,327002.4415,25499.834,236362.5258,384661.4734,28638.7075,224040.6433,371956.4102,51732.99866,368460.5297,551009.6504,52919.9505,360617.3529,540679.817,45043.96432,316901.877,538126.2244,51423.64546,359741.4796,505268.5064,52494.58704,373816.3422,535558.7029,44301.20171,311531.0309,442435.0253,39803.58319,317054.0206,611533.7949,42904.07812,348131.601,597819.1717,297258.9316,316139.6419,286908.3409
Docosanoylcarnitine (AC 22:0),C29H57NO4,Carnitine,HMDB0062468,C18,Positive,123689.3436,315755.6507,317229.3907,134005.2993,369681.2259,346326.7006,122250.0772,365354.4117,329081.0109,122534.3757,297511.2879,339256.624,140382.0786,383715.8349,365143.7206,129310.3923,398225.0878,345135.9021,145966.696,451430.388,461028.0774,113595.5314,311434.4773,224979.2024,340284.6358,827891.8345,578881.8797,287825.7006,510030.1205,405740.0899,313323.2344,590744.6382,455786.596,292686.1441,569673.4695,544283.9271,261683.9864,609588.1041,440570.3827,235151.394,486343.1831,380580.1585,224699.5185,625355.7907,617258.3352,271032.3716,552469.8913,486127.5322,430163.0656,426782.6906,426389.9658
Dodecanoylcarnitine (AC 12:0),C19H37NO4,Carnitine,HMDB0002250,C18,Positive,27558.0915,370675.5484,1083578.807,32610.9945,667429.3202,1730688.272,31641.82807,700123.7998,1113188,29461.137,795866.9846,2306899.936,28982.1395,731056.0521,2075979.245,44383.4015,641172.4415,1951568.024,28276.27543,649107.5447,1693761.374,34296.04929,778161.7716,1682821.932,19066.8475,295803.4185,1009475.384,25341.81764,385636.1065,515613.6379,16854.32411,281497.9499,698498.3857,31708.13173,394316.5605,873997.7183,28247.843,405107.4717,736616.3121,23559.99345,322020.5083,978043.3014,24099.63825,360288.0557,816450.5209,35285.56922,392866.6764,695897.6143,632566.7234,605689.0575,613176.5195
Stearoylcarnitine,C25H49NO4,Carnitine,HMDB0000848,C18,Positive,253627.1284,1542255.836,3030230.15,289118.5954,1811930.872,2981626.943,293063.1946,1689630.46,2370941.412,236740.1632,1365573.777,2818128.22,221066.5486,1902163.637,2566565.47,246351.1604,1534628.962,2483487.734,285632.8578,1911323.422,2835467.263,267600.4652,1707356.434,2637536.83,490963.2694,3016612.135,3938149.981,510464.3046,3044598.953,3574593.8,493270.9999,2563770.18,3665430.561,458595.8071,2923561.069,3957420.261,457101.5181,3055056.943,3771550.992,399044.7955,2477328.234,3278539.865,341818.0036,2736349.278,4290592.64,499325.4926,2956612.184,4407777.315,2471530.406,2300556.003,2183901.204
Acetylcholine,C7H15NO2,Choline,HMDB0000895,C18,Positive,51859.68119,255747.7435,479466.1553,30924.04447,232607.0496,366807.934,31269.77824,250163.1407,420725.2778,39679.00847,206939.3631,387238.3247,66464.16725,264211.0378,440543.1067,41864.17807,213025.9857,409254.6662,11869.65093,193632.8211,195078.4911,27907.80701,248953.0465,512473.8938,32494.42436,297740.2362,599041.3115,51302.09691,460021.7861,727179.1855,66473.75258,424274.3429,652609.1121,79108.32978,472867.1253,791074.8083,101928.5512,443520.8822,826784.4931,70362.25159,469219.3477,749373.0361,116635.7891,562272.5903,729860.8881,37267.66674,476286.1057,682846.8452,343837.2094,359059.1255,347796.5421
Choline,C5H13NO,Choline,HMDB0000097,C18,Positive,178669.0738,642887.0327,975533.5821,176588.3039,613899.6699,943682.6279,168560.4281,728334.0247,951080.9483,124601.0438,568822.5479,1037443.684,154386.8067,617465.7477,1071950.667,128296.1498,556058.673,936430.4578,177842.7734,627768.942,1009410.26,192240.6548,682632.5255,1084106.332,108771.9096,566149.0034,982686.2263,103108.5591,575815.4768,1007019.629,107038.9177,578715.3925,784345.8096,148957.7769,604489.238,859828.7029,119435.6948,551998.124,823959.0906,154379.1411,558404.7492,928892.2975,160247.6375,564396.1806,864799.4552,127858.1997,646409.6849,851049.7373,634735.0452,629725.5574,610967.8887
phosphocholine,C5H14NO4P,Choline,HMDB0001565,C18,Positive,8302313.655,30271057.31,44433692.91,8020981.757,31454201.77,42427506.92,8334459.442,32707826.65,40133671.99,7946090.852,26584404.58,43285246.61,8118646.75,31127119.66,44123984.5,7905527.618,28712810.91,40995194.84,8621172.429,33227719.37,42598306.05,8834280.111,31478948.59,43091800.71,10168798.32,38559245.91,51686949.37,10756988.59,41772754.78,53467763.63,10487292.59,37178888.14,51889470.02,11242295.83,40505382.41,49771389.42,11120758.21,36645070.89,50789289.89,10404098.77,42925737.54,51044301.97,10046530.69,37184271.38,54625281.64,10147868.65,37825056.09,52140959.35,35068613.4,36121102.66,35140841.89
Glycerophosphocholine,C8H20NO6P,Choline,HMDB0000086,C18,Positive,142317.1138,583023.0992,822857.1811,116551.3109,360024.1347,521509.5874,294849.5534,1144337.574,1179523.6,133547.0813,738319.4684,1049231.279,190575.2621,586131.4714,1215582.777,80636.02684,425207.1234,778382.2003,205922.2139,525689.1188,840091.9043,304841.5096,701711.235,983573.2195,47069.56346,236238.2605,420706.5233,56324.54774,263741.9617,397704.6636,51159.46597,246130.2155,414153.6243,67858.11174,310649.6211,379051.4476,55484.75141,229458.9429,464413.9731,79525.72256,300928.8956,418561.7097,120781.4262,279501.8283,406918.9876,60414.16241,385221.9962,476640.5823,419863.9448,427841.8388,447998.8619
Citrulline,C6H13N3O3,Amino acid,HMDB0000904,C18,Positive,19626.07045,51014.79743,64293.74005,20585.3272,46467.97675,71596.70974,20872.01702,52782.48062,62375.02338,19831.97622,36345.73001,60416.54853,17109.10105,45478.78945,61372.34738,19783.62905,44463.15946,61472.50429,17606.50674,47277.54277,65299.90504,19124.73621,48167.636,68345.13093,22459.02366,56808.54495,78882.19821,24752.73235,59106.97445,83102.27795,23493.8135,56704.37385,79571.28578,24397.99798,61777.78733,81988.18791,24243.59328,60327.32744,77426.96779,24753.07168,59440.20765,92938.93154,20385.03295,55989.72785,79669.145,21000.39349,66787.9459,85368.76343,51510.77813,59963.86843,58035.54882
Cytosine,C4H5N3O,Pyrimidine,HMDB00630,C18,Positive,14455.501,65739.11351,96743.33967,16279.13091,67632.38386,115761.8649,20687.25497,103904.9911,137851.2696,10399.73441,77672.051,120568.9706,10956.99889,56798.55757,93727.83873,9659.047398,58410.81355,99340.99934,18974.15101,88737.9227,98114.82898,14780.48339,62071.37936,110642.2266,7430.731513,50020.20677,100445.3057,12708.76016,106409.4501,115750.767,10814.29134,99592.33562,149161.9841,25113.27366,112718.978,150935.7638,12564.70583,98932.30376,152457.3979,24696.35893,91557.87725,144909.7398,23454.56769,78059.7714,102888.0343,20484.25469,98949.4148,121072.6574,89862.02301,81011.88123,79540.93066
N-Acetyl-D-glucosamine,C8H15NO6,sugar,HMDB0000215,C18,Positive,11935.70045,66222.34339,73208.48055,14087.75595,58114.90725,71833.49245,11288.95704,59614.41133,47902.27494,10631.71299,46556.22258,70414.7485,12188.20682,62786.0143,38830.28272,12168.99872,45224.78653,74040.43155,13945.26179,50440.55568,75926.43943,11004.59699,50119.51073,48188.59644,10371.74356,66134.21564,73747.73796,13425.93623,67297.35856,55824.56107,11917.29411,56247.24747,47862.26148,12795.92343,58385.12271,48591.22526,11834.57129,70768.92102,85531.65986,13503.33778,69747.72583,78304.8405,12416.93156,61507.28995,75906.97291,12395.56626,50886.68845,87759.07695,54724.53847,55219.12481,55890.11709
Methionine,C5H11NO2S,Amino acid,HMDB00696,C18,Positive,70907.20002,378843.1351,608658.8252,70097.08978,402881.4675,615856.4145,51492.7739,333217.0141,474064.1095,51471.84661,303974.6143,577342.1404,54731.68392,326615.6216,526459.7935,47799.69795,304263.92,510437.3838,65099.60631,349650.484,527473.6663,52321.19582,314245.1305,581009.0833,55446.26478,573119.2951,1064060.036,67973.72925,695369.9333,1107389.472,60286.87065,599074.8122,1067973.444,103597.0612,629200.6485,948601.9135,75460.79272,608052.0008,1044706.482,100628.809,592660.2,1013213.985,91978.8021,544978.9157,956246.7186,81732.16108,719418.4604,934659.0411,509251.5849,523927.3959,507284.4344
Adenine,C5H5N5,Nucleotide,HMDB0000034,C18,Positive,206508.6899,765857.8039,948767.7273,227802.0136,718161.2231,1203674.258,261032.6173,822502.0801,1067938.643,206952.0149,822055.3637,1212990.161,236012.0535,821225.8339,1186146.958,198489.5137,740864.4171,1076775.107,205319.3364,762742.6002,926172.0983,216756.3637,744208.4995,1335946.806,178386.1438,717705.3786,1050436.331,216914.3607,850007.8693,1279810.667,193010.4837,769530.6907,1025430.524,221387.492,788365.0846,943132.8376,194895.2925,746009.2079,1017291.138,215697.6096,739813.0271,908290.7848,215251.8989,761118.7408,1004491.591,206520.7483,759941.4077,978190.1873,738233.6687,781301.4587,764119.8569
5'-Methylthioadenosine,C11H15N5O3S,Nucleotide,HMDB01173,C18,Positive,17651.41588,79602.0021,132510.7963,13666.19555,94389.30285,156047.5673,16149.85137,107877.3275,150095.5162,14300.35561,56618.15882,121036.7592,13523.38563,78096.8861,139834.0716,13150.95835,64853.36581,112672.0879,20060.05298,87866.54593,123652.1245,14764.66128,80487.70685,144719.1787,15053.53495,131116.9855,282726.7603,20431.91747,140218.5132,219084.0047,15802.9246,152464.8095,262799.1055,26812.80881,154824.6423,230888.9524,19038.34612,144344.2252,266878.4588,21739.36884,131595.0266,251727.9613,27248.13456,153143.7291,215117.2375,18120.80847,163081.0606,226151.3179,110613.6926,115523.516,122047.6276
Uridine,C9H12N2O6,Nucleotide,HMDB0000296,C18,Positive,7008.781412,67248.84953,113328.2953,7379.872013,58174.21749,104901.3451,7425.004717,74479.9855,106680.6961,5922.474686,54315.22705,112430.1674,5216.312459,55527.55658,93270.50029,4796.867398,50897.24661,94069.99654,7784.952008,65320.79673,102783.1892,5776.451478,65525.52611,113879.3963,6278.180232,64172.29595,121964.7164,8661.125364,79824.06822,122378.7043,5564.772188,79825.69222,130319.4889,9324.040803,79313.97508,121034.3468,7396.46212,69468.39226,136926.204,9917.392055,67696.35381,116692.884,6721.376754,70451.90776,118877.2894,9023.813129,93926.95859,128258.3522,70798.28439,75192.64756,68606.29524
Niacinamide (Nicotinamide),C6H6N2O,Pyrimidine,HMDB0001406,C18,Positive,61210.77135,418668.1283,625811.1554,75059.76128,419464.3305,680473.752,85723.21342,484645.1697,697904.2265,76337.98024,375194.0833,646811.1913,72385.42252,465979.344,695501.281,69448.38933,400187.8468,661622.5747,83251.91124,487390.7633,704949.2072,71333.50184,480801.4595,732035.7412,62067.94296,438172.8604,664952.2507,83640.12669,467395.685,683662.9045,62796.44748,451619.8412,680020.2498,82190.43333,492709.4868,713549.7646,65473.51247,477202.0179,677897.0917,77838.34236,444820.9747,663000.5368,69020.22011,456574.9893,658530.4563,67600.17816,469707.2622,666209.8779,448853.5262,455281.5837,453243.6464
Uracil,C4H4N2O2,Nucleotide,HMDB0000300,C18,Positive,40851.37044,76902.29806,79429.08062,35564.83837,68365.51175,81760.45203,41001.81156,83762.56149,87882.9592,28755.73429,72109.75791,78938.00778,30010.12328,73240.46599,67996.30949,31436.80316,73943.94473,65278.18688,37519.64192,78691.05806,80906.81673,36458.62127,76414.8607,92803.1645,34737.70474,87845.64846,113581.0111,42189.07157,95160.29166,104899.4164,34727.73661,84162.80867,115696.0957,47542.85691,83202.79119,95039.99964,36820.04608,89182.00135,95111.59719,47085.5558,83597.53242,99839.05599,45577.95044,89157.0673,99866.42253,49451.38676,98361.94724,105657.0931,82413.462,79314.23086,84237.88565
Creatine,C4H9N3O2,Amino acid,HMDB0000064,C18,Positive,6103.012106,36124.04015,31837.7798,14446.43735,29992.59556,43592.59575,11459.46266,19598.33337,37945.95595,14873.19079,27968.4831,34961.03404,8610.326,36432.63785,34436.59774,7767.792214,27415.61371,26661.17806,9110.982983,36625.14862,33066.33161,11099.16412,35914.73913,50367.30137,18902.0792,51590.17358,43705.1216,20932.69157,40261.56656,45134.25689,14900.79481,36527.69002,37713.68356,8200.22305,58003.72954,49430.74715,16170.92859,43822.30805,42269.69749,10826.74223,36289.17921,36395.35474,9515.866332,50628.77046,63113.49473,14204.33368,33980.39066,68013.01364,44366.68205,40450.36207,45148.09712
Tyrosine,C9H11NO3,Amino acid,HMDB00158,C18,Positive,48388.98693,326023.407,542463.0675,39017.23976,314038.7131,708195.6185,72262.88144,311507.1537,611020.4856,86512.48308,263900.0864,595387.0275,65293.20892,460330.4652,682374.1445,63926.0855,398648.4512,615040.9264,45169.44549,425588.7888,506033.6581,42823.49264,414678.1766,971636.9585,127879.2691,388641.3244,660835.3365,140543.5245,490788.4926,695417.741,53111.5353,395759.6239,548696.5371,91438.77916,567932.3916,620604.7384,79045.6591,599787.4058,565339.5344,98281.30513,412763.4287,564719.6639,76790.05381,433677.4432,596766.4444,143203.7041,408909.8131,611750.2754,429574.3892,411732.3663,409367.3385
Guanine,C5H5N5O,Nucleotide,HMDB0000132,C18,Positive,137897.389,847104.4955,1286294.557,143484.5996,799261.3787,1157462.878,185533.9859,1039300.933,1302402.642,116412.7517,684393.1986,1243684.725,127360.2976,693119.8655,1186398.462,130861.1694,621347.374,994313.1454,211511.1361,796557.2203,1158106.653,175522.9634,791232.9769,1301617.165,143516.3429,873552.623,1550428.594,162847.6502,1010672.902,1470395.244,118143.3871,950973.2089,1465320.076,197979.097,981347.9056,1397917.963,144258.1815,946648.4925,1443889.79,190148.865,865456.6631,1444823.303,185069.4064,873376.4024,1424036.274,157106.8826,1102218.218,1558168.728,851984.3272,866235.6821,863919.865
Nicotinamide mononucleotide,C11H15N2O8P,Nucleotide,HMDB0001132,C18,Positive,62161.52424,246352.7042,331700.2436,57813.10706,226221.0978,313400.8484,50635.11535,208122.7154,270236.0054,45904.79406,166876.2101,260517.8244,54162.36708,196556.5713,241521.869,55906.21654,183819.1323,235983.4793,53356.27218,222517.7911,256677.8107,51186.30478,202683.2863,268104.8547,66727.81835,356504.7202,442916.8976,66306.0083,316290.5945,422098.8596,52774.07917,317896.1521,432959.893,87061.6486,285145.1253,443639.6034,54482.88685,263202.9253,384672.4208,70126.97646,267372.9399,410342.8258,61390.21028,292176.9684,373985.625,68259.37584,315100.3276,420513.4398,250304.7571,266630.5071,246650.1625
